street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Beacon Street between Grant Avenue and Crescent Avenue	1	prohibited and exceptions		either side			including Saturdays; any time; Mondays to Fridays; 9:00 a.m. to 4:00 p.m.; 7:00 a.m. to 9:00 a.m.; 4:00 p.m. to 6:00 p.m.; 8:00 a.m. to 6:00 p.m.; 8:00 a.m. to 4:00 p.m.	Beacon Street between Grant Avenue and Crescent Avenue (1) Prohibited, any time, either side, except for the following: a) One-hour limit, 9:00 a.m. to 4:00 p.m., with no parking 7:00 a.m. to 9:00 a.m. or 4:00 p.m. to 6:00 p.m., from a point 40' east of Crescent Avenue, to a point 475' east of Crescent Avenue to south side. b) Parking meter zone, 2-hour limit, 8:00 a.m. to 6:00 p.m., Mondays to Saturdays, excluding Holidays, with no parking 7:00 a.m. to 9:00 a.m. or 4:00 p.m. to 6:00 p.m., Mondays to Fridays, excluding Holidays, from a point 350' west of Centre Street to a point 150' west of Centre Street, south side. c) Parking meter zone, 2-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 40' east of Herrick Road to a point 175' west of Langley Road, south side. d) Parking meter zone, 2-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 25' east of Langley Road to a point 15' west of Union Street, south side. e) Parking meter zone, 2-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 70' east of Union Street to a point 220' east of Union Street, south side. f) One-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point across from the west edge of Dalton Road to a point 115' east, south side. g) One-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 92' east of Dalton Road to a point 37' east of Dalton Road, north side. h) One-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 35' west of Dalton Road to a point 35' east of Chesley Road, north side. i) Parking meter zone, 2-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 21' west of Chesley Road to a point 65' east of Sumner Street, north side. j) Parking meter zone, 2-hour limit, 8:00 a.m. to 6:00 p.m., Mondays to Saturdays, excluding Holidays, with no parking 4:00 p.m. to 6:00 p.m., Mondays to Fridays, excluding Holidays, from a point 130' west of Langley Road to a point 345' west of Langley Road, north side. k) Parking meter zone, 2-hour limit, 8:00 a.m. to 6:00 p.m., including Saturdays, from a point 80' west of Centre Street to a point 280' west of Centre Street, north side. l) Two-hour limit, 8:00 a.m. to 4:00 p.m., including Saturdays, with no parking 4:00 p.m. to 6:00 p.m., from a point 315' west of Centre Street to Crescent Avenue, north side.	has lettered sub-clauses
Beacon Street between Crescent Avenue and Walnut Street	1	prohibited	both				any time	Beacon Street between Crescent Avenue and Walnut Street (1) Prohibited, any time, both sides.	
Beacon Street between Walnut Street and Chestnut Street	1	prohibited and exceptions		either side			any time	Beacon Street between Walnut Street and Chestnut Street (1) Prohibited, any time, either side, except for the following: a) No standing, any time, from Beethoven Avenue to Amy Circle, south side. b) Parking permitted between 1:00 p.m. and 8:00 p.m., Tuesdays only, June 1 through October 31, from a point 275 feet west of Kippy Drive to a point 450 feet west of Beaconswood Road, south side. c) No standing, any time, from Amy Circle to Evelyn Road, north side.	has lettered sub-clauses
Beacon Street between Chestnut Street and Washington Street	1	prohibited and exceptions		either side			including Saturdays; any time; 7:00 a.m. to 7:00 p.m.; 9:00 a.m. to 5:00 p.m.	Beacon Street between Chestnut Street and Washington Street (1) Prohibited, any time, either side, except for the following: a) One-hour limit, 7:00 a.m. to 7:00 p.m., from a point 40' west of Windsor Road to a point 200' west of Windsor Road, north side. b) Two-hour limit, 9:00 a.m. to 5:00 p.m., except by Waban permit, from a point 25' west of Collins Road to a point 65' west of Collins Road, north side. c) No standing, any time, from Waban Avenue to Manitoba Road, north side. d) Two-hour limit, 9:00 a.m. to 5:00 p.m., except by Waban permit, from Manitoba Road to a point 150' west of the east end of Dorset Road, north side. e) No restriction, any time, from Holly Road to a point 315' west of Holly Road, north side. f) One-hour limit, 7:00 a.m. to 7:00 p.m., including Saturdays, from a point 310' west of Woodward Street to a point 75' west of Woodward Street, south side.	has lettered sub-clauses; see TPR-202 (Waban permit)
Beacon Street Extension	1	prohibited	north	Washington Street	end of Private Way		all days	Beacon Street Extension (1) Prohibited, all days, north side, from Washington Street to end of Private Way.	
Beacon Street Extension	2	prohibited	south	Washington Street	a point 50 feet westerly		all days	Beacon Street Extension (2) Prohibited, all days, south side, from Washington Street to a point 50 feet westerly.	
Beaconwood Road	1	prohibited	west	Beacon Street	a point 220 feet southerly		all days	Beaconwood Road (1) Prohibited, all days, west side from Beacon Street southerly 220 feet.	
Beaconwood Road	2	two-hour limit	east	Beacon Street	Hargrave Circle		Saturdays included; 7:00 a.m. to 10:00 p.m.	Beaconwood Road (2) Two-hour limit, 7:00 a.m. to 10:00 p.m., Saturdays included, east side from Beacon Street to Hargrave Circle.	
Beaumont Avenue	1	prohibited	east	Prospect Park	Hull Street		all days	Beaumont Avenue (1) Prohibited, all days, east side, Prospect Park to Hull Street.	
Beaumont Avenue	2	resident permit only	west and east	Hull Street / Prospect Avenue	Prospect Avenue / Prospect Park		school days; 8:00 a.m. to 4:00 p.m.	Beaumont Avenue (2) Parking by Newtonville Resident parking permit only 8:00 a.m. to 4:00 p.m., school days, west side, Hull Street to Prospect Avenue and east side, Prospect Avenue to Prospect Park (three non-resident Newtonville parking permits allowed).	three non-resident Newtonville parking permits allowed
Beaumont Avenue	3	two-hour limit	both	Prospect Avenue	Commonwealth Avenue		school days; 8:00 a.m. to 4:00 p.m.	Beaumont Avenue (3) Two-hour limit except by Newtonville Resident parking permit, 8:00 a.m. to 4:00 p.m., school days, both sides, Prospect Avenue to Commonwealth Avenue.	except by Newtonville Resident parking permit
Beech Street	1	prohibited	north		entire length		all days	Beech Street (1) Prohibited, all days, north side.	
Beech Street	2	prohibited	south				second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Beech Street (2) Prohibited 9:00 a.m. to 1:00 p.m., south side, second Tuesday of every month.	
Beecher Place	1	prohibited	south				including Saturdays, Sundays and legal Holidays; including Saturdays	Beecher Place (1) Prohibited, including Saturdays, Sundays and legal Holidays, south side.	including Saturdays, Sundays and legal Holidays
Beethoven Avenue	1	prohibited	west	Beacon Street	a point 300 feet southerly		school days; 8:00 a.m. to 4:00 p.m.	Beethoven Avenue (1) Prohibited, school days, 8:00 a.m. to 4:00 p.m., west side, from Beacon Street southerly 300 feet.	
Beethoven Avenue	2	prohibited	east	Beacon Street	a point 175 feet southerly		all days	Beethoven Avenue (2) Prohibited, all days, east side from Beacon Street, southerly 175 feet.	
Beethoven Avenue	3	prohibited		east and west sides				Beethoven Avenue (3) Prohibited, Saturdays only, May through October (a) east side, from a point 650 feet north of Woodward Street to Puritan Road. (b) west side, from Puritan Road to Beacon Street.	has lettered sub-clauses
Belmont Street	1	prohibited	east		entire length	entire length	all days	Belmont Street (1) Prohibited, all days, east side, entire length.	
Belmont Street	2	prohibited	west		entire length	entire length	8:00 a.m. to 10:00 a.m.	Belmont Street (2) Prohibited, 8:00 a.m. to 10:00 a.m., west side, entire length.	
Bemis Road	1	prohibited	east	California Street	a point 105 feet northerly		all days	Bemis Road (1) Prohibited, all days, from California Street to a point 105 northerly, east side.	
Bennington Street	1	prohibited	north		entire length	entire length	all days	Bennington Street (1) Prohibited, all days, north side, entire length.	
Berkeley Place	1	prohibited	north	Maple Street	a point 120 feet easterly		all days	Berkeley Place (1) Prohibited, all days, north side from Maple Street, easterly 120 feet.	
Beverly Road	1	prohibited	west	Duncklee Street	Ipswich Road		all days; 7:00 a.m. to 8:00 p.m.	Beverly Road (1) Prohibited, west side, all days, 7:00 a.m. to 8:00 p.m., from Duncklee Street to Ipswich Road.	
Billings Park	1	two-hour limit	both	Church Street westerly intersection	a point 70 feet southerly		7:00 a.m. to 7:00 p.m.	Billings Park (1) Two-hour limit, 7:00 a.m. to 7:00 p.m., both sides, from Church Street westerly intersection, southerly 70 feet.	
Bishopsgate Road	1	no parking	west	a point 75 feet south of The Ledges Road	Beacon Street		any time	Bishopsgate Road (1) No parking, any time, west side, from a point 75 feet south of The Ledges Road to Beacon Street.	
Blake Street	1	prohibited	east	Cabot Street	Withington Road		all days	Blake Street (1) Prohibited, all days, east side, from Cabot Street to Withington Road.	
Blithedale Street	1	resident permit only	both				school days; 8:00 a.m. to 4:00 p.m.	Blithedale Street (1) Parking by Newtonville Resident parking permit only, 8:00 a.m. to 4:00 p.m., school days, both sides (two non-resident Newtonville parking permits allowed, one side only).	two non-resident Newtonville parking permits allowed, one side only
Bolton Road	1	resident permit only	both				school days; 8:00 a.m. to 4:00 p.m.	Bolton Road (1) Parking by Newtonville Resident parking permit only, 8:00 a.m. to 4:00 p.m., school days, both sides.	
Bonwood Street	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Bonwood Street (1) Two hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	
Border Street	1	prohibited		see notes			all days	Border Street (1) Prohibited, all days: a) East side from Webster Street southerly 150 feet. b) West side from Webster Street southerly 40 feet. c) North side from Elm Street westerly 20 feet. d) South side from Harvey Place to a point 250 feet easterly.	has lettered sub-clauses
Border Street	2	live parking	south	350 feet east of Harvey Place	a point 80 feet easterly		Monday to Friday; 2:00 p.m. to 6:00 p.m.	Border Street (2) Live parking, Monday to Friday, 2:00 p.m. to 6:00 p.m., south side, from point 350 feet east of Harvey Place to a point 80 feet easterly.	
Bound Brook Road	1	prohibited	north	Dedham Street	140 feet westerly		school days; 8:00 a.m. to 4:00 p.m.	Bound Brook Road (1) Prohibited, school days, 8:00 a.m. to 4:00 p.m., north side, from Dedham Street 140 feet westerly.	
Bourne Street	1	two-hour limit	both				9:00 a.m. to 5:00 p.m.	Bourne Street (1) Two hour limit except by Auburndale Permit, 9:00 a.m. to 5:00 p.m., both sides.	
Bow Road	1	prohibited	east				including Saturdays, Sundays and legal Holidays; including Saturdays	Bow Road (1) Prohibited, including Saturdays, Sundays and legal Holidays, east side.	
Bowdoin Street	1	prohibited	east	Hillside Road	Erie Avenue		all days	Bowdoin Street (1) Prohibited, all days, east side from Hillside Road to Erie Avenue.	
Bowdoin Street	2	two-hour limit	west	Hillside Road	Lincoln Street		8:00 a.m. to 6:00 p.m.	Bowdoin Street (2) Two-hour limit, 8:00 a.m. to 6:00 p.m., west side from Hillside Road to Lincoln Street.	
Bowdoin Street	3	two-hour limit	west	Lincoln Street	Erie Avenue		8:00 a.m. to 6:00 p.m.	Bowdoin Street (3) Two-hour limit, 8:00 a.m. to 6:00 p.m., except by Newton Highlands Permit, west side from Lincoln Street to Erie Avenue.	
Bowen Street	1	two-hour limit	south and west	190 feet west of Centre Street	Homer Street		Saturdays included; 9:00 am. to 5:00 p.m.	Bowen Street (1) Two-hour limit, 9:00 am. to 5:00 p.m., Saturdays included, south and west sides, from a point 190 feet west of Centre Street to Homer Street.	
Bowen Street	2	prohibited	north and east	Centre Street	Homer Street		all days	Bowen Street (2) Prohibited, all days, north and east sides, from Centre Street to Homer Street.	
Bowers Street	1	prohibited		see notes			all days	Bowers Street (1) Prohibited, all days: a) North side from a point 250 feet northeast of Newtonville Avenue easterly to Harvard Street. b) East side from Newtonville Avenue northerly 120 feet.	has lettered sub-clauses
Bowers Street	2	two-hour limit	south	240 feet northeast of Newtonville Avenue	Harvard Street		7:00 a.m. to 7:00 p.m.	Bowers Street (2) Two-hour limit, 7:00 a.m. to 7:00 p.m., except Sundays and Holidays, south side from a point 240 feet northeast of Newtonville Avenue to Harvard Street.	
Bowers Street	3	parking meter zone	see notes		see notes		8:00 a.m. to 6:00 p.m.	Bowers Street (3) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., except Sundays and Holidays. a) West and North side from Newtonville Avenue northerly 250 feet. b) South side, from a point 120 feet north of Newtonville Avenue, easterly 100 feet.	has lettered sub-clauses
Boyd Street	1	two-hour limit	south	Emerson Street	135 feet easterly		7:00 a.m. to 7:00 p.m.	Boyd Street (1) Two-hour limit, 7:00 a.m. to 7:00 p.m., south side from Emerson Street 135 feet easterly.	
Boylston Road	1	two-hour limit	both		end	entire length		Boylston Road (1) Two-hour limit, entire length, both sides.	
Bracebridge Road	1	prohibited	west		end	entire length	school days; 8:00 a.m. to 9:00 a.m.; 2:30 p.m. to 3:30 p.m.	Bracebridge Road (1) Prohibited, school days, 8:00 a.m. to 9:00 a.m. and 2:30 p.m. to 3:30 p.m., west side, entire length.	
Brae Burn Road	1	prohibited	both		end	entire length	9:00 a.m. to 10:00 a.m.	Brae Burn Road (1) Prohibited, 9:00 a.m. to 10:00 a.m., both sides, entire length.	
Braeland Avenue	1	prohibited	south		end	entire length	all times; all days, all times; all days	Braeland Avenue (1) Prohibited, all days, all times, entire length, south side.	
Braeland Avenue	2	parking meter zone	north	Langley Road	150 feet westerly			Braeland Avenue (2) Parking meter zone, two-hour limit, 8:00 a.m., to 6:00 p.m., Langley Road to a point 150 feet westerly, north side.	
Braeland Avenue	3	prohibited	north	150 feet west of Langley Road	330 feet west of Langley Road		all days; 4:00 p.m. to 6:00 p.m.	Braeland Avenue (3) Prohibited, all days, 4:00 p.m. to 6:00 p.m., from a point 150 feet west of Langley Road to a point 330 feet west of Langley Road, north side.	
Braeland Avenue	4	live parking	north	330 feet west of Langley Road	westerly 100 feet			Braeland Avenue (4) Live parking, from a point 330 feet west of Langley Road, westerly 100 feet, north side.	
Braeland Avenue	5	prohibited	north	430 feet west of Langley Road	Herrick Road		all days; 4:00 p.m. to 6:00 p.m.	Braeland Avenue (5) Prohibited, all days, 4:00 p.m. to 6:00 p.m., from a point 430 feet west of Langley Road to Herrick Road, north side.	
Braeland Avenue	6	prohibited	north	Herrick Road	Cypress Street		all times; all days, all times; all days	Braeland Avenue (6) Prohibited, all days, all times, Herrick Road to Cypress Street, north side.	
